year,month,plant,parameter,stat,value_mean
2025,1,E.L. Smith,Colour (TCU),Avg,2.8983606557377053
2025,1,E.L. Smith,Colour (TCU),Max,2.7661290322580645
2025,1,E.L. Smith,Colour (TCU),Min,5.27258064516129
2025,1,E.L. Smith,Turbidity (NTU),Avg,2.59672131147541
2025,1,E.L. Smith,Turbidity (NTU),Max,2.4645161290322584
2025,1,E.L. Smith,Turbidity (NTU),Min,2.148387096774193
2025,1,E.L. Smith,pH,Avg,8.048780487804878
2025,1,E.L. Smith,pH,Max,8.038775510204081
2025,1,E.L. Smith,pH,Min,5.199999999999999
2025,1,Rosedale,Colour (TCU),Avg,2.7580645161290325
2025,1,Rosedale,Colour (TCU),Max,3.012903225806452
2025,1,Rosedale,Colour (TCU),Min,2.509677419354839
2025,1,Rosedale,Turbidity (NTU),Avg,2.6193548387096777
2025,1,Rosedale,Turbidity (NTU),Max,2.9741935483870967
2025,1,Rosedale,Turbidity (NTU),Min,2.364516129032258
2025,1,Rosedale,pH,Avg,8.074193548387097
2025,1,Rosedale,pH,Max,8.096774193548388
2025,1,Rosedale,pH,Min,8.035483870967742
2025,1,Unknown,Turbidity (NTU),Max,
2025,1,Unknown,Turbidity (NTU),Min,3.0
2025,2,E.L. Smith,Colour (TCU),Avg,4.329090909090909
2025,2,E.L. Smith,Colour (TCU),Max,4.1875
2025,2,E.L. Smith,Colour (TCU),Min,5.980357142857143
2025,2,E.L. Smith,Turbidity (NTU),Avg,3.2821428571428575
2025,2,E.L. Smith,Turbidity (NTU),Max,2.980357142857143
2025,2,E.L. Smith,Turbidity (NTU),Min,2.3535714285714286
2025,2,E.L. Smith,pH,Avg,8.040000000000001
2025,2,E.L. Smith,pH,Max,8.026666666666667
2025,2,E.L. Smith,pH,Min,5.473214285714286
2025,2,Rosedale,Colour (TCU),Avg,4.364285714285715
2025,2,Rosedale,Colour (TCU),Max,5.060714285714285
2025,2,Rosedale,Colour (TCU),Min,3.939285714285714
2025,2,Rosedale,Turbidity (NTU),Avg,3.5321428571428575
2025,2,Rosedale,Turbidity (NTU),Max,6.610714285714286
2025,2,Rosedale,Turbidity (NTU),Min,2.414285714285714
2025,2,Rosedale,pH,Avg,7.953571428571428
2025,2,Rosedale,pH,Max,8.089285714285714
2025,2,Rosedale,pH,Min,8.007142857142856
2025,2,Unknown,Turbidity (NTU),Max,
2025,2,Unknown,Turbidity (NTU),Min,3.7
2025,3,E.L. Smith,Colour (TCU),Avg,11.638709677419355
2025,3,E.L. Smith,Colour (TCU),Max,11.143548387096773
2025,3,E.L. Smith,Colour (TCU),Min,8.98709677419355
2025,3,E.L. Smith,Turbidity (NTU),Avg,5.785483870967742
2025,3,E.L. Smith,Turbidity (NTU),Max,5.214516129032258
2025,3,E.L. Smith,Turbidity (NTU),Min,3.990322580645161
2025,3,E.L. Smith,pH,Avg,7.9911111111111115
2025,3,E.L. Smith,pH,Max,7.976
2025,3,E.L. Smith,pH,Min,6.537096774193548
2025,3,Rosedale,Colour (TCU),Avg,12.096774193548388
2025,3,Rosedale,Colour (TCU),Max,13.85483870967742
2025,3,Rosedale,Colour (TCU),Min,10.296774193548387
2025,3,Rosedale,Turbidity (NTU),Avg,6.403225806451613
2025,3,Rosedale,Turbidity (NTU),Max,9.59032258064516
2025,3,Rosedale,Turbidity (NTU),Min,4.922580645161291
2025,3,Rosedale,pH,Avg,7.990322580645161
2025,3,Rosedale,pH,Max,8.019354838709678
2025,3,Rosedale,pH,Min,7.97741935483871
2025,3,Unknown,Turbidity (NTU),Max,
2025,3,Unknown,Turbidity (NTU),Min,15.0
2025,4,E.L. Smith,Colour (TCU),Avg,15.233333333333333
2025,4,E.L. Smith,Colour (TCU),Max,11.426666666666668
2025,4,E.L. Smith,Colour (TCU),Min,10.553333333333335
2025,4,E.L. Smith,Turbidity (NTU),Avg,56.748333333333335
2025,4,E.L. Smith,Turbidity (NTU),Max,21.016666666666666
2025,4,E.L. Smith,Turbidity (NTU),Min,53.22666666666667
2025,4,E.L. Smith,pH,Avg,11.796551724137931
2025,4,E.L. Smith,pH,Max,9.74
2025,4,E.L. Smith,pH,Min,30.654999999999998
2025,4,Rosedale,Colour (TCU),Avg,59.15833333333333
2025,4,Rosedale,Colour (TCU),Max,14.65
2025,4,Rosedale,Colour (TCU),Min,12.9
2025,4,Rosedale,Turbidity (NTU),Avg,27.21833333333333
2025,4,Rosedale,Turbidity (NTU),Max,60.675
2025,4,Rosedale,Turbidity (NTU),Min,52.35
2025,4,Rosedale,pH,Avg,9.615
2025,4,Rosedale,pH,Max,8.0975
2025,4,Rosedale,pH,Min,8.082608695652175
2025,4,Unknown,Turbidity (NTU),Max,
2025,4,Unknown,Turbidity (NTU),Min,
2025,5,E.L. Smith,Colour (TCU),Avg,25.53548387096774
2025,5,E.L. Smith,Colour (TCU),Max,21.96451612903226
2025,5,E.L. Smith,Colour (TCU),Min,16.89516129032258
2025,5,E.L. Smith,Turbidity (NTU),Avg,34.18064516129032
2025,5,E.L. Smith,Turbidity (NTU),Max,33.108064516129026
2025,5,E.L. Smith,Turbidity (NTU),Min,60.12903225806452
2025,5,E.L. Smith,pH,Avg,14.459677419354838
2025,5,E.L. Smith,pH,Max,8.234210526315788
2025,5,E.L. Smith,pH,Min,23.967741935483872
2025,5,Rosedale,Colour (TCU),Avg,24.516129032258064
2025,5,Rosedale,Colour (TCU),Max,23.721311475409838
2025,5,Rosedale,Colour (TCU),Min,22.355737704918035
2025,5,Rosedale,Turbidity (NTU),Avg,24.01290322580645
2025,5,Rosedale,Turbidity (NTU),Max,49.02295081967213
2025,5,Rosedale,Turbidity (NTU),Min,40.62950819672131
2025,5,Rosedale,pH,Avg,13.998387096774193
2025,5,Rosedale,pH,Max,8.27
2025,5,Rosedale,pH,Min,8.262962962962963
2025,5,Unknown,Turbidity (NTU),Max,
2025,5,Unknown,Turbidity (NTU),Min,22.6
2025,6,E.L. Smith,Colour (TCU),Avg,18.15
2025,6,E.L. Smith,Colour (TCU),Max,14.928333333333335
2025,6,E.L. Smith,Colour (TCU),Min,13.275
2025,6,E.L. Smith,Turbidity (NTU),Avg,29.40666666666667
2025,6,E.L. Smith,Turbidity (NTU),Max,30.878333333333334
2025,6,E.L. Smith,Turbidity (NTU),Min,50.46333333333334
2025,6,E.L. Smith,pH,Avg,11.126666666666667
2025,6,E.L. Smith,pH,Max,8.356818181818182
2025,6,E.L. Smith,pH,Min,21.975
2025,6,Rosedale,Colour (TCU),Avg,20.95762711864407
2025,6,Rosedale,Colour (TCU),Max,16.529999999999998
2025,6,Rosedale,Colour (TCU),Min,15.366666666666667
2025,6,Rosedale,Turbidity (NTU),Avg,23.955
2025,6,Rosedale,Turbidity (NTU),Max,52.041666666666664
2025,6,Rosedale,Turbidity (NTU),Min,43.91833333333333
2025,6,Rosedale,pH,Avg,10.87241379310345
2025,6,Rosedale,pH,Max,8.426829268292684
2025,6,Rosedale,pH,Min,8.414893617021276
2025,6,Unknown,Turbidity (NTU),Max,
2025,6,Unknown,Turbidity (NTU),Min,
2025,7,E.L. Smith,Colour (TCU),Avg,17.088709677419356
2025,7,E.L. Smith,Colour (TCU),Max,16.42258064516129
2025,7,E.L. Smith,Colour (TCU),Min,11.71774193548387
2025,7,E.L. Smith,Turbidity (NTU),Avg,20.23225806451613
2025,7,E.L. Smith,Turbidity (NTU),Max,18.07903225806452
2025,7,E.L. Smith,Turbidity (NTU),Min,13.183870967741935
2025,7,E.L. Smith,pH,Avg,8.425641025641026
2025,7,E.L. Smith,pH,Max,8.414
2025,7,E.L. Smith,pH,Min,12.938709677419356
2025,7,Rosedale,Colour (TCU),Avg,15.419354838709678
2025,7,Rosedale,Colour (TCU),Max,16.80322580645161
2025,7,Rosedale,Colour (TCU),Min,14.067741935483872
2025,7,Rosedale,Turbidity (NTU),Avg,20.34193548387097
2025,7,Rosedale,Turbidity (NTU),Max,24.85483870967742
2025,7,Rosedale,Turbidity (NTU),Min,15.041935483870969
2025,7,Rosedale,pH,Avg,8.390322580645162
2025,7,Rosedale,pH,Max,8.46774193548387
2025,7,Rosedale,pH,Min,8.351612903225806
2025,7,Unknown,Turbidity (NTU),Max,
2025,7,Unknown,Turbidity (NTU),Min,18.1
2025,8,E.L. Smith,Colour (TCU),Avg,15.680645161290323
2025,8,E.L. Smith,Colour (TCU),Max,13.993548387096775
2025,8,E.L. Smith,Colour (TCU),Min,11.54516129032258
2025,8,E.L. Smith,Turbidity (NTU),Avg,23.937704918032786
2025,8,E.L. Smith,Turbidity (NTU),Max,12.561290322580646
2025,8,E.L. Smith,Turbidity (NTU),Min,27.322580645161292
2025,8,E.L. Smith,pH,Avg,12.05967741935484
2025,8,E.L. Smith,pH,Max,11.185483870967742
2025,8,E.L. Smith,pH,Min,17.856451612903225
2025,8,Rosedale,Colour (TCU),Avg,26.467741935483872
2025,8,Rosedale,Colour (TCU),Max,14.816129032258065
2025,8,Rosedale,Colour (TCU),Min,13.990322580645161
2025,8,Rosedale,Turbidity (NTU),Avg,19.164516129032258
2025,8,Rosedale,Turbidity (NTU),Max,36.545901639344265
