date,year,month,day,plant,parameter,stat,value
2025-01-01,2025,1,1,E.L. Smith,Colour (TCU),Avg,
2025-01-01,2025,1,1,E.L. Smith,Colour (TCU),Max,
2025-01-01,2025,1,1,E.L. Smith,Colour (TCU),Min,
2025-01-01,2025,1,1,E.L. Smith,Turbidity (NTU),Avg,
2025-01-01,2025,1,1,E.L. Smith,Turbidity (NTU),Max,
2025-01-01,2025,1,1,E.L. Smith,Turbidity (NTU),Min,
2025-01-01,2025,1,1,E.L. Smith,pH,Avg,
2025-01-01,2025,1,1,E.L. Smith,pH,Max,
2025-01-01,2025,1,1,E.L. Smith,pH,Min,
2025-01-01,2025,1,1,Rosedale,Colour (TCU),Avg,
2025-01-01,2025,1,1,Rosedale,Colour (TCU),Max,
2025-01-01,2025,1,1,Rosedale,Colour (TCU),Min,
2025-01-01,2025,1,1,Rosedale,Turbidity (NTU),Avg,
2025-01-01,2025,1,1,Rosedale,Turbidity (NTU),Max,
2025-01-01,2025,1,1,Rosedale,Turbidity (NTU),Min,
2025-01-01,2025,1,1,Rosedale,pH,Avg,
2025-01-01,2025,1,1,Rosedale,pH,Max,
2025-01-01,2025,1,1,Rosedale,pH,Min,
2025-01-01,2025,1,1,Unknown,Turbidity (NTU),Max,
2025-01-01,2025,1,1,Unknown,Turbidity (NTU),Min,
2025-01-04,2025,1,4,E.L. Smith,Colour (TCU),Avg,
2025-01-04,2025,1,4,E.L. Smith,Colour (TCU),Max,
2025-01-04,2025,1,4,E.L. Smith,Colour (TCU),Min,
2025-01-04,2025,1,4,E.L. Smith,Turbidity (NTU),Avg,
2025-01-04,2025,1,4,E.L. Smith,Turbidity (NTU),Max,
2025-01-04,2025,1,4,E.L. Smith,Turbidity (NTU),Min,
2025-01-04,2025,1,4,E.L. Smith,pH,Avg,
2025-01-04,2025,1,4,E.L. Smith,pH,Max,
2025-01-04,2025,1,4,E.L. Smith,pH,Min,
2025-01-04,2025,1,4,Rosedale,Colour (TCU),Avg,
2025-01-04,2025,1,4,Rosedale,Colour (TCU),Max,
2025-01-04,2025,1,4,Rosedale,Colour (TCU),Min,
2025-01-04,2025,1,4,Rosedale,Turbidity (NTU),Avg,
2025-01-04,2025,1,4,Rosedale,Turbidity (NTU),Max,
2025-01-04,2025,1,4,Rosedale,Turbidity (NTU),Min,
2025-01-04,2025,1,4,Rosedale,pH,Avg,
2025-01-04,2025,1,4,Rosedale,pH,Max,
2025-01-04,2025,1,4,Rosedale,pH,Min,
2025-01-04,2025,1,4,Unknown,Turbidity (NTU),Max,
2025-01-04,2025,1,4,Unknown,Turbidity (NTU),Min,
2025-01-07,2025,1,7,E.L. Smith,Colour (TCU),Avg,
2025-01-07,2025,1,7,E.L. Smith,Colour (TCU),Max,
2025-01-07,2025,1,7,E.L. Smith,Colour (TCU),Min,
2025-01-07,2025,1,7,E.L. Smith,Turbidity (NTU),Avg,
2025-01-07,2025,1,7,E.L. Smith,Turbidity (NTU),Max,
2025-01-07,2025,1,7,E.L. Smith,Turbidity (NTU),Min,
2025-01-07,2025,1,7,E.L. Smith,pH,Avg,
2025-01-07,2025,1,7,E.L. Smith,pH,Max,
2025-01-07,2025,1,7,E.L. Smith,pH,Min,
2025-01-07,2025,1,7,Rosedale,Colour (TCU),Avg,
2025-01-07,2025,1,7,Rosedale,Colour (TCU),Max,
2025-01-07,2025,1,7,Rosedale,Colour (TCU),Min,
2025-01-07,2025,1,7,Rosedale,Turbidity (NTU),Avg,
2025-01-07,2025,1,7,Rosedale,Turbidity (NTU),Max,
2025-01-07,2025,1,7,Rosedale,Turbidity (NTU),Min,
2025-01-07,2025,1,7,Rosedale,pH,Avg,
2025-01-07,2025,1,7,Rosedale,pH,Max,
2025-01-07,2025,1,7,Rosedale,pH,Min,
2025-01-07,2025,1,7,Unknown,Turbidity (NTU),Max,
2025-01-07,2025,1,7,Unknown,Turbidity (NTU),Min,
2025-01-10,2025,1,10,E.L. Smith,Colour (TCU),Avg,
2025-01-10,2025,1,10,E.L. Smith,Colour (TCU),Max,
2025-01-10,2025,1,10,E.L. Smith,Colour (TCU),Min,
2025-01-10,2025,1,10,E.L. Smith,Turbidity (NTU),Avg,
2025-01-10,2025,1,10,E.L. Smith,Turbidity (NTU),Max,
2025-01-10,2025,1,10,E.L. Smith,Turbidity (NTU),Min,
2025-01-10,2025,1,10,E.L. Smith,pH,Avg,
2025-01-10,2025,1,10,E.L. Smith,pH,Max,
2025-01-10,2025,1,10,E.L. Smith,pH,Min,
2025-01-10,2025,1,10,Rosedale,Colour (TCU),Avg,
2025-01-10,2025,1,10,Rosedale,Colour (TCU),Max,
2025-01-10,2025,1,10,Rosedale,Colour (TCU),Min,
2025-01-10,2025,1,10,Rosedale,Turbidity (NTU),Avg,
2025-01-10,2025,1,10,Rosedale,Turbidity (NTU),Max,
2025-01-10,2025,1,10,Rosedale,Turbidity (NTU),Min,
2025-01-10,2025,1,10,Rosedale,pH,Avg,
2025-01-10,2025,1,10,Rosedale,pH,Max,
2025-01-10,2025,1,10,Rosedale,pH,Min,
2025-01-10,2025,1,10,Unknown,Turbidity (NTU),Max,
2025-01-10,2025,1,10,Unknown,Turbidity (NTU),Min,
2025-01-13,2025,1,13,E.L. Smith,Colour (TCU),Avg,
2025-01-13,2025,1,13,E.L. Smith,Colour (TCU),Max,
2025-01-13,2025,1,13,E.L. Smith,Colour (TCU),Min,
2025-01-13,2025,1,13,E.L. Smith,Turbidity (NTU),Avg,
2025-01-13,2025,1,13,E.L. Smith,Turbidity (NTU),Max,
2025-01-13,2025,1,13,E.L. Smith,Turbidity (NTU),Min,
2025-01-13,2025,1,13,E.L. Smith,pH,Avg,
2025-01-13,2025,1,13,E.L. Smith,pH,Max,
2025-01-13,2025,1,13,E.L. Smith,pH,Min,
2025-01-13,2025,1,13,Rosedale,Colour (TCU),Avg,
2025-01-13,2025,1,13,Rosedale,Colour (TCU),Max,
2025-01-13,2025,1,13,Rosedale,Colour (TCU),Min,
2025-01-13,2025,1,13,Rosedale,Turbidity (NTU),Avg,
2025-01-13,2025,1,13,Rosedale,Turbidity (NTU),Max,
2025-01-13,2025,1,13,Rosedale,Turbidity (NTU),Min,
2025-01-13,2025,1,13,Rosedale,pH,Avg,
2025-01-13,2025,1,13,Rosedale,pH,Max,
2025-01-13,2025,1,13,Rosedale,pH,Min,
2025-01-13,2025,1,13,Unknown,Turbidity (NTU),Max,
2025-01-13,2025,1,13,Unknown,Turbidity (NTU),Min,
2025-01-16,2025,1,16,E.L. Smith,Colour (TCU),Avg,
2025-01-16,2025,1,16,E.L. Smith,Colour (TCU),Max,
2025-01-16,2025,1,16,E.L. Smith,Colour (TCU),Min,
2025-01-16,2025,1,16,E.L. Smith,Turbidity (NTU),Avg,
2025-01-16,2025,1,16,E.L. Smith,Turbidity (NTU),Max,
2025-01-16,2025,1,16,E.L. Smith,Turbidity (NTU),Min,
2025-01-16,2025,1,16,E.L. Smith,pH,Avg,
2025-01-16,2025,1,16,E.L. Smith,pH,Max,
2025-01-16,2025,1,16,E.L. Smith,pH,Min,
2025-01-16,2025,1,16,Rosedale,Colour (TCU),Avg,
2025-01-16,2025,1,16,Rosedale,Colour (TCU),Max,
2025-01-16,2025,1,16,Rosedale,Colour (TCU),Min,
2025-01-16,2025,1,16,Rosedale,Turbidity (NTU),Avg,
2025-01-16,2025,1,16,Rosedale,Turbidity (NTU),Max,
2025-01-16,2025,1,16,Rosedale,Turbidity (NTU),Min,
2025-01-16,2025,1,16,Rosedale,pH,Avg,
2025-01-16,2025,1,16,Rosedale,pH,Max,
2025-01-16,2025,1,16,Rosedale,pH,Min,
2025-01-16,2025,1,16,Unknown,Turbidity (NTU),Max,
2025-01-16,2025,1,16,Unknown,Turbidity (NTU),Min,
2025-01-19,2025,1,19,E.L. Smith,Colour (TCU),Avg,
2025-01-19,2025,1,19,E.L. Smith,Colour (TCU),Max,
2025-01-19,2025,1,19,E.L. Smith,Colour (TCU),Min,
2025-01-19,2025,1,19,E.L. Smith,Turbidity (NTU),Avg,
2025-01-19,2025,1,19,E.L. Smith,Turbidity (NTU),Max,
2025-01-19,2025,1,19,E.L. Smith,Turbidity (NTU),Min,
2025-01-19,2025,1,19,E.L. Smith,pH,Avg,
2025-01-19,2025,1,19,E.L. Smith,pH,Max,
2025-01-19,2025,1,19,E.L. Smith,pH,Min,
2025-01-19,2025,1,19,Rosedale,Colour (TCU),Avg,
2025-01-19,2025,1,19,Rosedale,Colour (TCU),Max,
2025-01-19,2025,1,19,Rosedale,Colour (TCU),Min,
2025-01-19,2025,1,19,Rosedale,Turbidity (NTU),Avg,
2025-01-19,2025,1,19,Rosedale,Turbidity (NTU),Max,
2025-01-19,2025,1,19,Rosedale,Turbidity (NTU),Min,
2025-01-19,2025,1,19,Rosedale,pH,Avg,
2025-01-19,2025,1,19,Rosedale,pH,Max,
2025-01-19,2025,1,19,Rosedale,pH,Min,
2025-01-19,2025,1,19,Unknown,Turbidity (NTU),Max,
2025-01-19,2025,1,19,Unknown,Turbidity (NTU),Min,
2025-01-22,2025,1,22,E.L. Smith,Colour (TCU),Avg,
2025-01-22,2025,1,22,E.L. Smith,Colour (TCU),Max,
2025-01-22,2025,1,22,E.L. Smith,Colour (TCU),Min,
2025-01-22,2025,1,22,E.L. Smith,Turbidity (NTU),Avg,
2025-01-22,2025,1,22,E.L. Smith,Turbidity (NTU),Max,
2025-01-22,2025,1,22,E.L. Smith,Turbidity (NTU),Min,
2025-01-22,2025,1,22,E.L. Smith,pH,Avg,
2025-01-22,2025,1,22,E.L. Smith,pH,Max,
2025-01-22,2025,1,22,E.L. Smith,pH,Min,
2025-01-22,2025,1,22,Rosedale,Colour (TCU),Avg,
2025-01-22,2025,1,22,Rosedale,Colour (TCU),Max,
2025-01-22,2025,1,22,Rosedale,Colour (TCU),Min,
2025-01-22,2025,1,22,Rosedale,Turbidity (NTU),Avg,
2025-01-22,2025,1,22,Rosedale,Turbidity (NTU),Max,
2025-01-22,2025,1,22,Rosedale,Turbidity (NTU),Min,
2025-01-22,2025,1,22,Rosedale,pH,Avg,
2025-01-22,2025,1,22,Rosedale,pH,Max,
2025-01-22,2025,1,22,Rosedale,pH,Min,
2025-01-22,2025,1,22,Unknown,Turbidity (NTU),Max,
2025-01-22,2025,1,22,Unknown,Turbidity (NTU),Min,
2025-01-25,2025,1,25,E.L. Smith,Colour (TCU),Avg,
2025-01-25,2025,1,25,E.L. Smith,Colour (TCU),Max,
2025-01-25,2025,1,25,E.L. Smith,Colour (TCU),Min,
2025-01-25,2025,1,25,E.L. Smith,Turbidity (NTU),Avg,
2025-01-25,2025,1,25,E.L. Smith,Turbidity (NTU),Max,
2025-01-25,2025,1,25,E.L. Smith,Turbidity (NTU),Min,
2025-01-25,2025,1,25,E.L. Smith,pH,Avg,
2025-01-25,2025,1,25,E.L. Smith,pH,Max,
